name	label	unit	ftype	dtype	min	max	sort
Seilsys	Seilsystem		drop_field	int	0	1	10
HM_Kran	Hoehe Seilkranmast	m	field	float	0	50	11
Befahr_A	Seillinie befahrbar ab ... vom Anfangspunkt	m	field	int	0	1000	12
Befahr_E	Seillinie befahrbar bis ... vor dem Endpunkt	m	field	int	0	1000	13
Bodenabst_min	Minimaler Abstand Tragseil - Boden	m	field	float	0	30	14
Bodenabst_A	einzuhalten ab ... vom Anfangspunkt	m	field	int	0	200	15
Bodenabst_E	einzuhalten bis ... vor dem Endpunkt	m	field	int	0	200	16
Q	Gesamtlast	kN	field	float	1	250	20
qT	Gewicht Tragseil	kN/m	field	float	0.001	1	21
D	Durchmesser Tragseil	mm	field	float	1	500	22
MBK	Mindestbruchkraft Tragseil	kN	field	float	10	5000	23
qZ	Gewicht Zugseil	kN/m	field	float	0	1	24
qR	Gewicht Rueckholseil	kN/m	field	float	0	1	25
SK	Grundspannung Tragseil (Anfangssp.)	kN	field	int	10	1000	26
Anlagetyp	Anlagetyp		field	string			27
Min_Dist_Mast	Minimaler Abstand zwischen Stuetzen	m	field	int	0	200	30
L_Delta	Horiz. Aufloesung moegl. Stuetzenstandorte	m	field	int	1	20	31
HM_min	Minimale Stuetzenhoehe	m	field	int	1	HM_max	32
HM_max	Maximale Stuetzenhoehe	m	field	int	HM_min	50	33
HM_Delta	Abstufungsinterval	m	field	int	1	5	34
HM_nat	Kuenstliche Stuetze ab Stuetzenhoehe von	m	field	int	0	100	35
E	Elastizitaetsmodul Tragseil	kN/mm2	field	float	10	1000	36
FuellF	Fuellfaktor		field	float	0	1	37
SF_T	Sicherheitsfaktor Tragseil		field	float	0	20	38
LeerKnickMit	Grenzwert min. Leerseilknickwinkel mit Niederhaltelasche	°	field	float	0	15	39
LeerKnickOhne	Grenzwert min. Leerseilknickwinkel ohne Niederhaltelasche	°	field	float	0	15	40
LastKnickSt	Grenzwert max. Lastseilknickwinkel Stuetze	°	field	float	0	90	41
LastKnickEnd	Grenzwert max. Lastseilknickwinkel Endmast	°	field	float	0	90	42
Bundstelle	Bundstelle ueber Sattelleiste	m	field	float	0	30	43
